School,Rush Rank,Pass Rank,Tot Off Rank,Rush Def Rank,Pass Def Rank,Score Def Rank,Punt Ret Rank,KO Ret Rank,TO Margin Rank,Penalty Yds Rank,Def Punt Ret Rank,Def KO Ret Rank,Def Sacks Rank,Def Tckl Loss Rank,Off 3rd Dwn Rank,Def 3rd Dwn Rank,Off 4th Dwn Rank,Def 4th Dwn Rank,Wins,Losses,Ties,Win Pct
South Fla.,18,107,79,55,6,14,19,47,35,97,61,47,14,23,58,5,59,10,6,6,0,50.00
USC,6,5,1,31,73,35,63,42,2,83,116,71,42,83,1,45,20,58,12,1,0,92.31
Southern Methodist,77,96,104,48,89,57,53,41,30,70,12,40,89,104,99,79,103,52,5,6,0,45.45
Southern Miss.,95,33,70,73,75,33,67,70,7,38,43,77,34,63,40,67,100,98,7,5,0,58.33
Stanford,110,56,99,70,110,89,91,29,41,7,4,53,20,53,102,110,116,80,5,6,0,45.45
Syracuse,105,105,115,97,21,67,51,34,82,33,50,96,55,81,117,16,85,114,1,10,0,9.09
TCU,28,77,41,15,63,15,20,6,1,114,5,30,8,10,83,14,41,84,11,1,0,91.67
Temple,113,103,117,104,98,117,116,103,100,11,111,115,99,81,90,117,91,112,0,11,0,0.00
Tennessee,80,85,90,2,54,16,65,77,95,71,113,31,14,17,62,46,111,1,5,6,0,45.45
Texas,2,40,3,33,8,8,6,3,27,88,30,35,39,29,4,10,20,56,13,0,0,100.00
Texas A&M,10,78,17,43,117,94,60,109,30,50,51,53,51,69,83,113,12,55,5,6,0,45.45
Texas Tech,104,1,6,67,15,18,49,98,16,117,98,67,106,109,71,30,3,88,9,3,0,75.00
Toledo,13,47,15,27,25,27,79,37,35,93,28,14,30,41,15,61,71,88,9,3,0,75.00
Troy,90,102,109,50,18,39,23,43,105,56,67,89,99,49,103,36,49,30,4,7,0,36.36
Tulane,112,44,95,101,13,99,30,51,111,29,80,99,75,36,43,94,79,58,2,9,0,18.18
Tulsa,40,41,39,77,17,43,57,28,4,26,23,9,49,79,6,70,31,47,9,4,0,69.23
UAB,64,14,21,59,70,49,104,62,30,65,59,25,92,85,46,107,61,10,5,6,0,45.45
UCF,38,43,40,88,81,76,4,95,12,80,62,66,71,89,49,64,9,8,8,5,0,61.54
UCLA,45,23,23,116,77,108,1,108,28,41,32,44,67,13,45,66,41,116,10,2,0,83.33
UNLV,102,68,91,68,90,109,95,65,100,71,56,17,75,53,78,87,75,104,2,9,0,18.18
